"행정구역","2023년09월_남_총인구수","2023년09월_남_연령구간인구수","2023년09월_남_0세","2023년09월_남_1세","2023년09월_남_2세","2023년09월_남_3세","2023년09월_남_4세","2023년09월_남_5세","2023년09월_남_6세","2023년09월_남_7세","2023년09월_남_8세","2023년09월_남_9세","2023년09월_남_10세","2023년09월_남_11세","2023년09월_남_12세","2023년09월_남_13세","2023년09월_남_14세","2023년09월_남_15세","2023년09월_남_16세","2023년09월_남_17세","2023년09월_남_18세","2023년09월_남_19세","2023년09월_남_20세","2023년09월_남_21세","2023년09월_남_22세","2023년09월_남_23세","2023년09월_남_24세","2023년09월_남_25세","2023년09월_남_26세","2023년09월_남_27세","2023년09월_남_28세","2023년09월_남_29세","2023년09월_남_30세","2023년09월_남_31세","2023년09월_남_32세","2023년09월_남_33세","2023년09월_남_34세","2023년09월_남_35세","2023년09월_남_36세","2023년09월_남_37세","2023년09월_남_38세","2023년09월_남_39세","2023년09월_남_40세","2023년09월_남_41세","2023년09월_남_42세","2023년09월_남_43세","2023년09월_남_44세","2023년09월_남_45세","2023년09월_남_46세","2023년09월_남_47세","2023년09월_남_48세","2023년09월_남_49세","2023년09월_남_50세","2023년09월_남_51세","2023년09월_남_52세","2023년09월_남_53세","2023년09월_남_54세","2023년09월_남_55세","2023년09월_남_56세","2023년09월_남_57세","2023년09월_남_58세","2023년09월_남_59세","2023년09월_남_60세","2023년09월_남_61세","2023년09월_남_62세","2023년09월_남_63세","2023년09월_남_64세","2023년09월_남_65세","2023년09월_남_66세","2023년09월_남_67세","2023년09월_남_68세","2023년09월_남_69세","2023년09월_남_70세","2023년09월_남_71세","2023년09월_남_72세","2023년09월_남_73세","2023년09월_남_74세","2023년09월_남_75세","2023년09월_남_76세","2023년09월_남_77세","2023년09월_남_78세","2023년09월_남_79세","2023년09월_남_80세","2023년09월_남_81세","2023년09월_남_82세","2023년09월_남_83세","2023년09월_남_84세","2023년09월_남_85세","2023년09월_남_86세","2023년09월_남_87세","2023년09월_남_88세","2023년09월_남_89세","2023년09월_남_90세","2023년09월_남_91세","2023년09월_남_92세","2023년09월_남_93세","2023년09월_남_94세","2023년09월_남_95세","2023년09월_남_96세","2023년09월_남_97세","2023년09월_남_98세","2023년09월_남_99세","2023년09월_남_100세 이상","2023년09월_여_총인구수","2023년09월_여_연령구간인구수","2023년09월_여_0세","2023년09월_여_1세","2023년09월_여_2세","2023년09월_여_3세","2023년09월_여_4세","2023년09월_여_5세","2023년09월_여_6세","2023년09월_여_7세","2023년09월_여_8세","2023년09월_여_9세","2023년09월_여_10세","2023년09월_여_11세","2023년09월_여_12세","2023년09월_여_13세","2023년09월_여_14세","2023년09월_여_15세","2023년09월_여_16세","2023년09월_여_17세","2023년09월_여_18세","2023년09월_여_19세","2023년09월_여_20세","2023년09월_여_21세","2023년09월_여_22세","2023년09월_여_23세","2023년09월_여_24세","2023년09월_여_25세","2023년09월_여_26세","2023년09월_여_27세","2023년09월_여_28세","2023년09월_여_29세","2023년09월_여_30세","2023년09월_여_31세","2023년09월_여_32세","2023년09월_여_33세","2023년09월_여_34세","2023년09월_여_35세","2023년09월_여_36세","2023년09월_여_37세","2023년09월_여_38세","2023년09월_여_39세","2023년09월_여_40세","2023년09월_여_41세","2023년09월_여_42세","2023년09월_여_43세","2023년09월_여_44세","2023년09월_여_45세","2023년09월_여_46세","2023년09월_여_47세","2023년09월_여_48세","2023년09월_여_49세","2023년09월_여_50세","2023년09월_여_51세","2023년09월_여_52세","2023년09월_여_53세","2023년09월_여_54세","2023년09월_여_55세","2023년09월_여_56세","2023년09월_여_57세","2023년09월_여_58세","2023년09월_여_59세","2023년09월_여_60세","2023년09월_여_61세","2023년09월_여_62세","2023년09월_여_63세","2023년09월_여_64세","2023년09월_여_65세","2023년09월_여_66세","2023년09월_여_67세","2023년09월_여_68세","2023년09월_여_69세","2023년09월_여_70세","2023년09월_여_71세","2023년09월_여_72세","2023년09월_여_73세","2023년09월_여_74세","2023년09월_여_75세","2023년09월_여_76세","2023년09월_여_77세","2023년09월_여_78세","2023년09월_여_79세","2023년09월_여_80세","2023년09월_여_81세","2023년09월_여_82세","2023년09월_여_83세","2023년09월_여_84세","2023년09월_여_85세","2023년09월_여_86세","2023년09월_여_87세","2023년09월_여_88세","2023년09월_여_89세","2023년09월_여_90세","2023년09월_여_91세","2023년09월_여_92세","2023년09월_여_93세","2023년09월_여_94세","2023년09월_여_95세","2023년09월_여_96세","2023년09월_여_97세","2023년09월_여_98세","2023년09월_여_99세","2023년09월_여_100세 이상"
"전국  (0000000000)","25,592,335","25,592,335","116,892","130,400","138,564","147,353","160,872","174,132","192,170","217,805","227,697","225,953","232,946","248,942","250,312","237,136","233,116","247,023","247,503","229,752","228,290","248,664","250,955","264,623","303,896","329,242","322,458","336,831","348,789","363,618","369,435","376,928","381,027","378,178","350,526","339,981","330,052","317,305","317,335","328,219","331,496","349,772","386,706","419,163","426,237","427,912","401,969","378,932","383,725","380,517","401,906","443,335","442,161","448,235","476,435","452,907","463,464","447,752","413,799","416,404","414,426","383,275","425,493","408,504","456,521","436,655","391,317","362,666","354,987","318,698","323,282","264,810","235,961","250,691","182,036","194,520","193,864","186,575","178,317","128,855","127,889","121,886","126,482","130,495","99,920","84,769","78,224","64,352","53,779","43,570","36,197","26,949","19,809","15,058","9,646","7,337","5,950","3,734","2,466","1,390","973","744","1,516","25,777,666","25,777,666","110,955","124,537","131,725","140,756","152,212","165,108","181,901","208,374","216,551","215,413","222,178","236,051","236,886","222,726","219,569","233,935","233,767","214,834","214,060","231,995","233,110","243,798","280,630","303,352","295,434","312,024","324,459","328,140","328,946","333,383","337,833","342,967","319,608","307,873","300,087","296,849","301,813","308,226","313,398","334,319","372,200","404,710","405,971","416,736","391,383","367,057","371,654","366,712","392,881","429,422","435,951","428,817","461,500","441,718","459,225","447,940","414,872","397,528","413,729","378,156","413,203","404,569","468,370","456,210","404,574","371,387","368,268","337,161","353,002","286,920","261,164","279,003","206,858","223,570","225,513","220,093","218,191","158,063","167,053","169,414","181,805","193,497","156,753","142,715","137,850","120,943","108,307","95,416","85,948","68,842","55,426","45,998","33,084","28,871","21,653","16,238","11,428","6,879","5,079","3,067","7,337"
"서울특별시  (1100000000)","4,552,501","4,552,501","19,524","21,340","22,394","23,095","25,023","26,309","28,711","32,710","33,896","34,195","35,340","37,708","37,899","36,453","35,917","39,109","39,316","36,813","37,312","42,177","42,804","44,716","54,079","60,726","62,322","68,192","73,506","78,803","81,247","84,180","84,891","83,558","77,295","73,385","70,102","65,871","64,309","64,695","64,099","66,217","70,661","74,476","75,886","74,644","69,762","64,681","66,141","65,684","69,070","75,726","75,824","78,470","82,576","78,008","78,350","73,698","67,489","66,888","67,465","63,743","69,503","65,970","71,743","70,938","65,086","61,222","60,134","54,848","57,014","46,897","42,638","44,651","32,166","35,722","35,285","34,453","33,806","24,826","24,787","23,276","23,887","24,686","18,869","15,428","13,970","11,521","9,411","7,519","6,157","4,443","3,339","2,604","1,636","1,294","1,146","736","483","249","185","150","343","4,855,039","4,855,039","18,577","20,259","21,124","21,798","23,074","24,798","27,504","31,466","32,649","32,393","33,451","35,744","35,768","34,358","34,265","36,848","37,289","34,715","35,656","42,968","46,161","50,412","60,352","69,999","71,969","79,320","84,194","85,457","84,668","85,325","84,830","84,356","76,943","72,139","68,986","66,254","65,108","64,754","64,452","66,328","71,138","75,522","75,466","77,052","72,115","66,614","68,589","66,943","71,079","77,263","78,830","78,981","84,067","79,889","80,911","77,396","71,619","67,296","71,405","66,974","71,978","69,164","79,810","80,198","72,401","67,820","68,271","62,855","66,815","54,504","49,759","51,902","37,900","42,286","42,892","41,718","42,193","31,205","31,027","29,971","30,603","31,883","25,268","22,243","20,935","18,070","16,036","13,647","12,174","9,636","7,793","6,380","4,683","4,147","3,284","2,422","1,803","1,057","731","553","1,162"
"부산광역시  (2600000000)","1,609,650","1,609,650","6,591","7,372","7,766","8,522","9,047","10,354","11,382","13,074","13,634","13,532","13,619","14,552","14,290","13,447","13,021","13,635","13,452","12,670","12,770","14,101","14,512","15,430","19,043","20,957","20,071","20,583","20,738","21,644","21,491","21,939","22,580","22,411","20,771","20,364","19,529","18,545","18,499","19,265","19,504","20,938","23,230","25,527","26,766","26,984","24,756","23,332","22,960","22,359","24,012","26,352","26,268","26,937","28,117","27,454","27,739","27,335","25,335","25,635","24,735","23,844","27,391","27,055","30,382","29,743","27,497","26,159","26,389","24,094","25,034","21,042","18,635","19,681","15,352","15,634","15,433","14,849","13,650","9,895","10,056","9,689","9,928","9,503","7,384","6,170","5,521","4,253","3,567","2,725","2,142","1,647","1,136","850","587","385","335","206","116","76","40","28","69","1,691,186","1,691,186","6,140","7,075","7,385","7,897","8,827","9,811","10,925","12,500","12,891","12,747","12,978","13,685","13,856","12,474","12,341","12,921","12,980","11,772","12,134","13,527","14,198","15,249","17,964","19,581","18,480","19,361","20,016","20,270","20,099","20,535","20,411","21,050","19,166","18,793","18,211","17,812","17,979","18,037","18,710","20,259","22,732","25,038","25,774","26,355","24,622","22,467","22,322","21,909","24,078","26,165","26,851","26,834","28,928","28,288","29,176","28,959","27,707","26,484","27,210","25,503","29,301","29,535","34,834","34,101","30,699","29,137","29,549","27,576","29,241","23,245","22,092","22,951","18,203","18,692","18,981","18,350","17,142","11,966","12,864","12,881","13,622","13,540","11,381","10,067","9,361","7,742","6,834","5,895","5,320","4,080","3,185","2,735","1,899","1,519","1,263","1,023","718","371","296","167","379"
"대구광역시  (2700000000)","1,168,679","1,168,679","4,798","5,512","5,852","6,575","7,307","7,905","8,910","10,194","10,567","10,345","10,574","11,440","11,422","10,780","10,640","11,434","11,250","10,788","10,894","11,976","12,349","12,863","14,815","16,193","15,154","15,536","15,593","16,033","16,023","16,095","16,495","16,678","15,245","15,261","14,784","13,695","13,913","14,353","14,110","14,692","16,214","17,903","18,338","18,474","17,490","16,629","17,086","17,283","18,211","19,958","20,254","20,640","21,704","21,081","21,470","21,834","19,925","19,832","19,450","18,215","19,997","19,683","21,418","20,126","18,493","16,212","16,664","14,982","14,776","12,238","11,605","12,167","9,004","9,306","9,712","8,863","7,959","5,396","5,464","5,822","6,302","6,100","4,634","3,889","3,649","2,870","2,510","2,019","1,727","1,218","886","721","411","254","208","138","81","40","38","29","34","1,209,122","1,209,122","4,570","5,222","5,568","6,206","6,716","7,624","8,505","9,763","9,978","10,038","10,125","10,990","10,685","10,110","9,932","10,539","10,767","9,927","10,046","10,855","11,261","11,597","13,405","14,407","13,246","13,529","14,465","14,485","14,312","14,207","14,254","14,383","13,130","12,873","12,541","11,813","12,376","12,690","12,969","14,103","16,565","18,016","18,548","18,938","17,943","16,763","17,399","17,443","18,956","20,768","21,221","21,402","22,463","22,124","22,660","22,563","21,316","20,175","20,845","19,246","20,725","20,480","23,424","22,327","20,173","17,054","18,048","16,637","17,380","13,895","14,165","14,722","11,091","11,109","12,118","11,440","10,565","6,839","7,748","8,709","9,193","9,209","7,663","6,991","6,422","5,656","4,941","4,337","3,874","3,054","2,338","2,028","1,412","1,130","832","647","442","241","174","103","220"
"인천광역시  (2800000000)","1,494,725","1,494,725","7,120","7,998","8,404","9,076","10,042","10,438","11,512","12,814","13,555","13,330","13,646","14,573","15,036","13,835","13,576","14,224","14,504","13,233","12,996","14,026","14,505","15,173","17,103","18,479","18,363","19,415","20,762","21,376","22,102","23,016","23,768","23,694","22,462","21,215","20,594","19,629","19,560","20,396","20,799","21,761","23,983","26,078","26,668","26,647","24,806","22,964","23,146","22,574","24,260","26,112","25,950","26,198","27,528","26,293","26,688","25,758","23,937","24,178","25,100","23,320","25,969","24,615","27,185","26,113","22,811","21,103","19,902","17,443","17,648","13,872","12,291","12,991","8,723","9,947","9,726","9,344","8,984","6,596","6,206","5,926","6,051","5,901","4,490","3,771","3,561","2,969","2,294","2,012","1,595","1,183","921","625","479","320","287","186","133","69","45","37","103","1,493,193","1,493,193","6,712","7,815","7,977","8,532","9,446","9,766","10,903","12,465","12,910","12,594","13,124","13,783","14,038","13,110","12,880","13,707","13,715","12,496","12,331","13,357","13,309","13,842","15,803","17,494","17,122","18,368","19,278","19,805","20,188","20,659","21,255","21,794","20,305","19,392","18,625","18,394","18,369","19,034","19,144","20,330","22,749","24,533","24,689","25,266","23,226","22,187","21,884","21,317","23,152","24,823","25,753","25,372","27,099","26,121","27,469","27,024","24,714","24,275","25,643","23,560","25,417","24,682","27,274","26,559","23,215","21,579","20,507","18,413","18,932","15,066","13,310","14,096","9,530","10,834","11,140","10,756","11,114","8,124","8,001","7,828","8,573","8,950","7,223","6,473","6,319","5,613","4,994","4,487","3,971","3,233","2,736","2,284","1,677","1,454","1,140","814","603","388","296","155","406"
"광주광역시  (2900000000)","702,748","702,748","3,207","3,907","4,131","4,235","4,698","5,364","5,865","6,566","6,994","6,923","7,315","7,826","7,785","7,491","7,405","7,900","8,046","7,471","7,381","7,940","8,417","8,690","9,944","10,752","10,221","10,372","10,628","10,657","10,469","10,524","10,407","10,129","9,175","8,798","8,335","8,083","8,272","8,517","8,750","9,668","10,928","11,932","11,476","11,761","11,371","10,588","10,993","11,096","11,255","12,956","12,476","12,486","13,303","12,451","12,352","12,405","11,111","11,344","10,542","9,910","10,838","9,622","10,574","10,692","9,280","8,412","8,168","7,108","7,350","5,727","5,209","5,642","4,658","4,745","4,828","4,419","4,477","3,385","3,176","2,919","3,013","3,420","2,425","2,054","1,832","1,552","1,278","957","832","662","410","337","218","180","143","71","56","28","24","15","18","720,251","720,251","3,077","3,658","4,006","4,177","4,576","5,027","5,468","6,422","6,464","6,685","6,836","7,246","7,330","7,102","7,033","7,364","7,509","6,953","6,906","7,449","7,627","8,222","9,266","9,704","9,277","9,596","9,660","9,735","9,817","9,434","9,337","9,318","8,474","8,018","7,702","7,732","7,941","8,383","8,511","9,342","10,564","11,778","11,385","12,109","11,768","10,885","11,191","10,916","11,579","12,837","12,930","12,651","13,501","12,620","12,598","12,685","11,455","11,393","11,088","10,052","11,014","10,013","11,378","11,780","10,345","9,445","8,988","7,671","8,402","6,767","6,179","6,724","5,703","5,879","6,037","5,708","5,829","4,185","4,344","3,967","4,205","4,818","3,848","3,370","3,093","2,765","2,510","2,060","1,885","1,599","1,230","1,005","775","766","451","348","244","177","120","56","199"
"대전광역시  (3000000000)","720,520","720,520","3,765","4,071","4,208","4,140","4,491","4,929","5,523","6,279","6,588","6,452","6,757","7,146","7,263","6,846","6,886","7,438","7,436","6,986","7,094","7,787","7,708","8,334","9,908","10,837","10,680","11,156","11,446","11,630","11,804","11,705","11,504","11,205","10,354","10,128","9,674","9,452","9,054","9,309","9,154","9,405","10,503","11,197","11,568","11,403","10,904","10,522","10,657","10,542","11,205","12,530","12,441","12,425","13,399","12,789","13,334","12,626","11,363","10,824","11,145","9,935","10,830","10,916","12,328","11,319","10,023","9,201","9,313","8,473","8,470","6,844","5,984","6,325","4,651","5,147","4,880","4,638","4,216","3,159","3,115","3,065","3,081","3,263","2,365","1,966","1,901","1,613","1,292","1,039","833","697","516","394","228","190","137","98","64","30","24","16","32","724,075","724,075","3,507","3,789","3,871","3,948","4,383","4,590","5,328","5,897","6,163","6,114","6,502","6,579","6,856","6,451","6,393","6,910","7,039","6,471","6,476","7,371","7,670","8,158","9,480","9,994","9,546","10,115","10,436","10,286","10,052","10,059","9,858","9,961","9,247","8,705","8,322","8,150","8,343","8,480","8,563","9,135","10,115","11,185","11,294","11,530","11,027","10,620","10,854","10,809","11,230","12,658","12,873","12,147","13,440","12,390","13,522","13,039","11,476","10,439","11,494","10,103","10,935","11,029","13,048","12,405","10,791","9,747","9,669","9,109","9,398","7,747","6,589","7,001","5,172","5,912","5,726","5,408","5,128","3,772","4,106","4,178","4,333","4,678","3,655","3,161","3,270","2,874","2,480","2,247","2,002","1,604","1,238","1,098","754","662","520","401","254","155","122","77","177"
"울산광역시  (3100000000)","567,314","567,314","2,520","2,834","3,187","3,332","3,728","4,180","4,770","5,403","5,727","5,610","5,711","6,049","6,071","5,719","5,649","5,891","5,952","5,313","5,293","5,514","5,639","5,753","6,489","6,875","6,666","7,143","7,646","7,985","7,931","7,970","8,093","8,030","7,352","7,403","7,382","6,954","7,025","7,208","7,256","7,744","8,772","9,512","9,969","10,101","9,277","8,846","8,899","8,341","8,881","9,508","9,585","9,773","10,606","10,205","10,720","10,708","10,131","10,815","10,529","9,418","10,325","9,909","10,934","9,893","8,943","8,149","7,688","6,829","6,835","5,583","5,048","4,995","3,954","3,766","3,694","3,460","3,023","2,045","2,051","1,871","2,032","1,875","1,359","1,187","1,011","755","605","451","414","335","231","158","93","66","71","27","18","13","8","9","8","536,853","536,853","2,396","2,709","2,968","3,416","3,547","3,972","4,378","5,074","5,282","5,364","5,467","5,654","5,607","5,203","5,175","5,573","5,362","4,965","4,656","4,635","4,262","4,396","4,939","5,530","5,067","5,535","5,779","5,864","5,951","6,133","6,201","6,391","6,262","6,096","6,027","5,799","6,125","6,414","6,498","7,338","8,176","9,067","9,084","9,463","8,729","8,079","8,125","7,900","8,706","9,526","9,802","9,757","10,645","10,445","10,911","10,853","10,331","9,746","9,904","8,885","9,405","9,207","10,712","9,890","8,756","7,995","7,762","7,015","7,098","5,661","5,191","5,202","3,996","3,939","3,822","3,707","3,319","2,228","2,458","2,555","2,835","2,729","2,080","2,052","1,752","1,639","1,407","1,260","1,108","916","745","598","422","325","264","211","167","98","74","38","71"
"세종특별자치시  (3600000000)","192,246","192,246","1,373","1,637","1,814","1,911","2,163","2,304","2,577","2,827","2,988","2,844","2,885","2,983","2,963","2,736","2,652","2,574","2,426","2,268","1,964","1,917","1,823","1,791","1,886","1,914","1,775","1,799","1,796","1,969","2,137","2,368","2,520","2,683","2,612","2,783","2,865","2,931","3,080","3,149","3,320","3,440","3,669","4,251","4,202","4,269","4,003","3,636","3,628","3,383","3,596","3,767","3,487","3,455","3,398","3,079","2,965","2,776","2,338","2,191","2,262","2,046","2,193","2,017","2,419","2,100","1,930","1,685","1,690","1,608","1,579","1,230","1,062","1,127","789","911","870","761","703","496","496","484","485","525","390","309","293","252","218","182","156","134","84","58","52","30","26","21","12","9","5","1","6","193,686","193,686","1,357","1,628","1,827","1,850","2,102","2,261","2,485","2,732","2,806","2,675","2,826","2,852","2,792","2,623","2,592","2,747","2,496","2,216","1,974","1,910","1,720","1,577","1,653","1,747","1,721","1,708","1,859","2,011","2,152","2,370","2,529","2,805","2,901","2,850","2,862","3,053","3,189","3,242","3,322","3,561","4,079","4,533","4,335","4,357","4,150","3,700","3,613","3,339","3,375","3,492","3,219","2,884","3,064","2,670","2,735","2,553","2,259","2,030","2,162","1,898","2,036","2,012","2,343","2,188","1,953","1,759","1,770","1,583","1,631","1,336","1,083","1,218","864","942","964","823","819","586","629","656","656","728","637","552","555","485","438","442","414","335","294","232","165","146","126","94","58","26","24","14","40"
"경기도  (4100000000)","6,855,626","6,855,626","35,418","40,029","41,525","43,677","48,116","51,447","56,562","63,783","66,905","65,319","66,982","71,567","71,441","67,439","66,265","69,844","69,349","64,001","62,916","69,311","68,154","71,970","81,527","88,277","87,802","92,481","95,748","99,608","102,380","104,469","106,722","106,892","99,684","95,792","94,199","91,816","91,693","94,913","96,116","101,232","112,233","121,703","123,182","122,997","115,020","107,845","108,853","107,699","112,575","122,972","121,840","124,003","129,976","122,990","124,099","117,919","108,802","108,759","109,551","100,843","109,727","103,076","114,075","107,869","95,420","88,393","82,532","73,726","73,794","59,464","52,607","55,285","36,935","40,449","40,616","39,692","38,679","28,639","27,934","25,996","26,220","27,422","21,411","18,063","16,466","13,875","11,644","9,328","7,838","5,844","4,287","3,314","2,173","1,722","1,330","818","538","346","219","201","427","6,770,713","6,770,713","33,424","37,809","39,761","42,438","45,391","49,115","53,490","61,304","63,601","62,859","64,289","68,417","68,179","64,111","62,919","67,067","66,315","60,635","60,431","64,872","63,278","65,244","75,412","81,432","80,521","84,315","86,175","87,225","88,273","90,371","92,843","94,937","90,636","87,217","86,084","85,722","86,758","89,224","90,763","95,976","106,664","115,806","117,095","118,720","111,317","104,205","105,090","103,539","109,513","119,377","120,103","119,107","126,735","119,759","124,284","119,385","109,080","103,867","107,447","97,531","104,663","100,535","113,509","108,056","95,539","87,335","84,164","76,204","78,757","63,070","56,753","60,100","41,635","46,540","46,606","46,204","46,855","35,224","35,847","35,413","36,847","38,929","32,027","28,823","27,736","24,613","22,111","19,381","17,428","13,907","11,229","9,223","6,719","5,999","4,612","3,455","2,423","1,486","1,117","682","1,500"
